profile_key,display_name,guidance_role,auto_suggest_mode,guidance_portion_g,contexts,reviewed_contexts_json,context_reason,changed_from_v4896602,ready_to_eat,reviewed_preparation_state,preparation_reason,priority_nutrients,flags
dict:ff54bb97-9100-4191-9354-d73ae9328b5d,20 Veggie McPlant® Nuggets — McDonald’s,commercial,never,330.0,"[""lunch"",""dinner"",""snack""]","[""lunch"",""snack"",""dinner""]",existing_meal_contexts,True,True,ready,ready_food,"[""carbs"",""energy"",""fat"",""fiber"",""protein""]","[""commercial_fast_food""]"
dict:1b039d91-df57-45a9-a821-ae2c3996e481,4 Chicken McNuggets™ — McDonald’s,commercial,never,71.2,"[""lunch"",""dinner"",""snack""]","[""lunch"",""snack"",""dinner""]",existing_meal_contexts,True,True,ready,ready_food,"[""energy"",""fat"",""carbs"",""protein""]","[""commercial_fast_food""]"
dict:c9dbb0ae-9bf2-4848-b595-80a70824c1ed,4 Veggie McPlant® Nuggets — McDonald’s,commercial,never,66.0,"[""lunch"",""dinner"",""snack""]","[""lunch"",""snack"",""dinner""]",existing_meal_contexts,True,True,ready,ready_food,"[""fat"",""energy"",""fiber"",""carbs"",""protein""]","[""commercial_fast_food""]"
dict:95fcf71e-2bf7-4f47-bfdc-09d9dd0e138b,6 Chicken McNuggets™ — McDonald’s,commercial,never,106.8,"[""lunch"",""dinner"",""snack""]","[""lunch"",""snack"",""dinner""]",existing_meal_contexts,True,True,ready,ready_food,"[""energy"",""fat"",""protein"",""carbs""]","[""commercial_fast_food""]"
dict:61d44d30-6a49-4ecd-b59c-b37c787fb696,6 Veggie McPlant® Nuggets — McDonald’s,commercial,never,99.0,"[""lunch"",""dinner"",""snack""]","[""lunch"",""snack"",""dinner""]",existing_meal_contexts,True,True,ready,ready_food,"[""energy"",""fat"",""carbs"",""fiber"",""protein""]","[""commercial_fast_food""]"
dict:c062d5ac-524d-41f1-b054-16dcfbfd3b23,9 Chicken McNuggets™ — McDonald’s,commercial,never,160.2,"[""lunch"",""dinner"",""snack""]","[""lunch"",""snack"",""dinner""]",existing_meal_contexts,True,True,ready,ready_food,"[""energy"",""fat"",""protein"",""carbs""]","[""commercial_fast_food""]"
dict:27f62b44-6273-4aff-b765-770e2c034995,9 Veggie McPlant® Nuggets — McDonald’s,commercial,never,148.5,"[""lunch"",""dinner"",""snack""]","[""lunch"",""snack"",""dinner""]",existing_meal_contexts,True,True,ready,ready_food,"[""energy"",""fat"",""fiber"",""carbs"",""protein""]","[""commercial_fast_food""]"
ciqual:40601,"Abat, cuit (aliment moyen)",food,familiar_only,100.0,"[""lunch"",""dinner""]","[""lunch"",""dinner""]",default_savory_or_ingredient,False,True,ready,ready_food,"[""iron_mg"",""protein"",""selenium_ug"",""vitamin_b12_ug"",""vitamin_b2_mg"",""vitamin_b9_ug"",""energy"",""phosphorus_mg"",""vitamin_b3_mg"",""vitamin_b6_mg""]","[""curated_familiar_only""]"
ciqual:12112,Abondance,food,familiar_only,100.0,"[""lunch"",""dinner""]","[""lunch"",""snack"",""dinner""]",cheese,True,True,ready,ready_food,"[""calcium_mg"",""energy"",""fat"",""phosphorus_mg"",""protein"",""vitamin_b12_ug"",""zinc_mg"",""vitamin_b2_mg"",""vitamin_b9_ug""]","[""curated_familiar_only""]"
ciqual:13704,"Abricot au sirop (sans précision sur léger ou
classique), appertisé, égoutté (aliment moyen)",food,familiar_only,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""vitamin_b1_mg"",""carbs"",""energy"",""fiber""]","[""curated_familiar_only""]"
ciqual:13712,"Abricot au sirop léger, appertisé, égoutté",food,familiar_only,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""vitamin_b1_mg"",""carbs"",""energy"",""fiber"",""potassium_mg""]","[""curated_familiar_only""]"
ciqual:13713,"Abricot au sirop léger, appertisé, non égoutté",food,familiar_only,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""vitamin_b1_mg"",""carbs"",""energy"",""potassium_mg""]","[""curated_familiar_only""]"
ciqual:13714,"Abricot au sirop, appertisé, égoutté",food,familiar_only,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""vitamin_b1_mg"",""carbs"",""energy"",""fiber""]","[""curated_familiar_only""]"
ciqual:13715,"Abricot au sirop, appertisé, non égoutté",food,familiar_only,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""carbs"",""energy""]","[""curated_familiar_only""]"
ciqual:13400,"Abricot pays, chair et peau, sans noyau, au sirop,
appertisé, non égoutté, prélevé à la Martinique",food,familiar_only,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""fiber"",""carbs""]","[""curated_familiar_only""]"
ciqual:13401,"Abricot pays, chair et peau, sans noyau, cru, prélevé à
la Martinique",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""fiber"",""carbs""]",[]
ciqual:13000,"Abricot, dénoyauté, cru",food,general,150.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""fiber"",""carbs"",""energy"",""potassium_mg""]",[]
ciqual:13001,"Abricot, dénoyauté, sec",food,general,30.0,"[""breakfast"",""snack""]","[""breakfast"",""lunch"",""snack"",""dinner""]",fruit,True,True,ready,ready_food,"[""potassium_mg"",""carbs"",""energy"",""fiber"",""vitamin_b6_mg""]",[]
