ciqual_code,nutrient_key,value_100g,unit,source,source_version
24999,calcium_mg,67.6,mg,ANSES - Table Ciqual 2025,2025-11-03
24999,iron_mg,1.3,mg,ANSES - Table Ciqual 2025,2025-11-03
24999,iodine_ug,13.6,µg,ANSES - Table Ciqual 2025,2025-11-03
24999,magnesium_mg,19.1,mg,ANSES - Table Ciqual 2025,2025-11-03
24999,potassium_mg,178,mg,ANSES - Table Ciqual 2025,2025-11-03
24999,selenium_ug,5.72,µg,ANSES - Table Ciqual 2025,2025-11-03
24999,zinc_mg,0.46,mg,ANSES - Table Ciqual 2025,2025-11-03
24999,vitamin_d_ug,0.16,µg,ANSES - Table Ciqual 2025,2025-11-03
24999,vitamin_c_mg,2.42,mg,ANSES - Table Ciqual 2025,2025-11-03
24999,vitamin_b12_ug,0.18,µg,ANSES - Table Ciqual 2025,2025-11-03
24999,omega3_g,0.2418,g,ANSES - Table Ciqual 2025,2025-11-03
8406,calcium_mg,14.7,mg,ANSES - Table Ciqual 2025,2025-11-03
8406,iron_mg,1.4,mg,ANSES - Table Ciqual 2025,2025-11-03
8406,magnesium_mg,7.8,mg,ANSES - Table Ciqual 2025,2025-11-03
8406,potassium_mg,97,mg,ANSES - Table Ciqual 2025,2025-11-03
8406,zinc_mg,1.6,mg,ANSES - Table Ciqual 2025,2025-11-03
8406,omega3_g,0.22,g,ANSES - Table Ciqual 2025,2025-11-03
8407,omega3_g,0,g,ANSES - Table Ciqual 2025,2025-11-03
25600,calcium_mg,34,mg,ANSES - Table Ciqual 2025,2025-11-03
25600,iron_mg,0.23,mg,ANSES - Table Ciqual 2025,2025-11-03
25600,magnesium_mg,8.8,mg,ANSES - Table Ciqual 2025,2025-11-03
25600,potassium_mg,260,mg,ANSES - Table Ciqual 2025,2025-11-03
25600,zinc_mg,0.21,mg,ANSES - Table Ciqual 2025,2025-11-03
25600,vitamin_c_mg,3.06,mg,ANSES - Table Ciqual 2025,2025-11-03
25600,omega3_g,0.73,g,ANSES - Table Ciqual 2025,2025-11-03
25601,calcium_mg,20.7,mg,ANSES - Table Ciqual 2025,2025-11-03
25601,iron_mg,1.1,mg,ANSES - Table Ciqual 2025,2025-11-03
25601,iodine_ug,2,µg,ANSES - Table Ciqual 2025,2025-11-03
25601,magnesium_mg,25.1,mg,ANSES - Table Ciqual 2025,2025-11-03
25601,potassium_mg,232,mg,ANSES - Table Ciqual 2025,2025-11-03
25601,zinc_mg,0.6,mg,ANSES - Table Ciqual 2025,2025-11-03
25601,vitamin_c_mg,2.75,mg,ANSES - Table Ciqual 2025,2025-11-03
25601,vitamin_b12_ug,1.45,µg,ANSES - Table Ciqual 2025,2025-11-03
25601,omega3_g,0.103,g,ANSES - Table Ciqual 2025,2025-11-03
25602,calcium_mg,22,mg,ANSES - Table Ciqual 2025,2025-11-03
25602,iron_mg,0.7,mg,ANSES - Table Ciqual 2025,2025-11-03
25602,magnesium_mg,20,mg,ANSES - Table Ciqual 2025,2025-11-03
